policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
patient,1.00,611.500000,18.100031,343.000000,19.510681,954.500000,31.868654
patient,1.25,687.200000,24.661261,336.800000,20.536147,1024.000000,39.276796
patient,1.50,743.800000,21.852028,326.900000,23.173021,1070.700000,36.672878
patient,1.75,781.400000,28.860584,316.300000,25.042408,1097.700000,42.468420
patient,2.00,807.800000,33.021205,319.800000,24.970204,1127.600000,47.169199
patient,2.25,845.000000,22.295989,304.500000,34.590461,1149.500000,45.524719
patient,2.50,867.100000,30.559414,303.800000,20.032196,1170.900000,30.942420
patient,2.75,866.500000,29.117578,301.700000,17.340063,1168.200000,30.396637
patient,3.00,877.800000,26.736575,292.000000,22.827858,1169.800000,31.992360
patient,3.25,898.700000,39.225983,297.800000,26.757346,1196.500000,54.203833
patient,3.50,910.700000,43.207638,300.800000,19.182168,1211.500000,51.807872
patient,3.75,913.000000,42.297885,297.300000,18.979814,1210.300000,39.609342
patient,4.00,905.200000,43.289208,299.600000,13.696715,1204.800000,48.237376
patient,4.25,910.600000,40.299435,310.300000,17.776701,1220.900000,47.782958
patient,4.50,915.700000,45.104939,297.100000,17.546446,1212.800000,55.028881
patient,4.75,920.600000,36.469774,302.400000,18.264720,1223.000000,37.261836
patient,5.00,923.200000,18.029605,289.700000,13.736003,1212.900000,18.320905
patient,5.25,913.700000,32.444996,298.700000,19.911192,1212.400000,37.636271
patient,5.50,912.600000,24.604426,297.600000,11.137524,1210.200000,22.215110
patient,5.75,910.000000,19.899749,298.000000,22.405357,1208.000000,28.252827
patient,6.00,919.400000,21.427915,287.500000,18.368149,1206.900000,22.022463
patient,6.25,931.800000,20.927388,284.300000,20.160743,1216.100000,21.753416
patient,6.50,937.900000,27.180262,280.500000,12.877629,1218.400000,27.897431
patient,6.75,940.100000,29.049574,276.000000,21.291626,1216.100000,32.586466
patient,7.00,938.800000,24.584548,286.800000,19.441079,1225.600000,32.616288
patient,7.25,934.400000,19.282692,297.800000,19.423926,1232.200000,23.639891
patient,7.50,937.400000,22.326865,303.700000,13.832731,1241.100000,24.641654
patient,7.75,931.500000,25.029982,300.000000,15.944348,1231.500000,28.687008
patient,8.00,923.100000,18.021284,302.200000,21.410278,1225.300000,28.323724
patient,8.25,916.300000,15.846836,287.500000,14.569756,1203.800000,25.125463
patient,8.50,920.900000,20.354907,291.000000,16.633300,1211.900000,25.518838
patient,8.75,924.200000,20.203410,297.800000,25.213753,1222.000000,38.995726
patient,9.00,924.400000,28.178794,300.900000,20.754919,1225.300000,42.486730
patient,9.25,923.700000,27.845008,298.000000,17.384540,1221.700000,24.184706
patient,9.50,927.300000,21.756481,297.300000,21.097920,1224.600000,32.149650
patient,9.75,920.500000,32.452529,298.400000,15.945741,1218.900000,40.809721
